route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
ASC_4560585,0ef0aa55-f349-410f-bcbf-35c8f5ec5c7e,King Historic District,,0,402,9094281e-3c28-4b1a-884c-590249013139,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,10b60a91-46f0-43dc-b3f0-97aed0186304,King Historic District,,0,202,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,11385dbd-1384-4ac4-b37c-8e11481bf34b,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,1169cd43-4e5a-4cc6-9865-11a6118b44c1,Centennial Olympic Park,,1,302,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,11eeb7ed-92f0-457f-bada-a05a316dc95e,Centennial Olympic Park,,1,101,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,129a32db-729e-4bfb-934f-412c2040c964,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,12ae18db-de93-4aa8-b994-dd4630f518f9,King Historic District,,0,101,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,137c3564-94b5-45f9-951a-632d467e6e63,Centennial Olympic Park,,1,102,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,1397f225-032c-4549-b256-3c5153b9dbe3,King Historic District,,0,401,9094281e-3c28-4b1a-884c-590249013139,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,13dc48f9-797a-48ea-a8ec-f39e4ea00403,King Historic District,,0,102,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
